x,y,rho,ux,uy
11,9,1.00058,0.000668411,-4.77097e-07
12,0,1.00056,0.000585784,-1.387e-17
12,1,1.00056,0.000586105,4.79282e-07
12,2,1.00056,0.000586946,7.75495e-07
12,3,1.00056,0.000587986,7.75496e-07
12,4,1.00056,0.000588828,4.79283e-07
12,5,1.00056,0.000589149,-1.387e-17
12,6,1.00056,0.000588828,-4.79283e-07
12,7,1.00056,0.000587986,-7.75496e-07
12,8,1.00056,0.000586946,-7.75495e-07
12,9,1.00056,0.000586105,-4.79282e-07
13,0,1.00058,0.000628364,-1.04023e-17
13,1,1.00058,0.000628706,4.74766e-07
13,2,1.00058,0.000629601,7.68189e-07
13,3,1.00058,0.000630708,7.68189e-07
13,4,1.00058,0.000631603,4.74767e-07
13,5,1.00058,0.000631945,0
13,6,1.00058,0.000631603,-4.74767e-07
13,7,1.00058,0.000630708,-7.68189e-07
13,8,1.00058,0.000629601,-7.68189e-07
13,9,1.00058,0.000628706,-4.74766e-07
14,0,1.0006,0.000597634,-3.46738e-17
14,1,1.0006,0.000597949,4.77816e-07
14,2,1.0006,0.000598773,7.73124e-07
14,3,1.0006,0.000599792,7.73124e-07
14,4,1.0006,0.000600617,4.77817e-07
14,5,1.0006,0.000600932,3.46738e-18
14,6,1.0006,0.000600617,-4.77817e-07
14,7,1.0006,0.000599792,-7.73124e-07
14,8,1.0006,0.000598773,-7.73124e-07
14,9,1.0006,0.000597949,-4.77816e-07
