x,y,rho,ux,uy,speed
0,0,1.000883397866555,-7.283739412443192e-07,-8.480281858645443e-07,1.117891051178286e-06
0,1,1.0008838143027,-8.715112128155959e-07,-2.278204384784501e-06,2.439210325682194e-06
0,2,1.000884431963771,-7.771673151501434e-07,-3.679450152776277e-06,3.760630593730665e-06
0,3,1.000884789902572,-7.05515591600742e-07,-5.329011701306098e-06,5.375510948984205e-06
0,4,1.000885488439633,-8.480287342922098e-07,-6.842937629483835e-06,6.895284485443011e-06
0,5,1.000886579403966,-9.925437027633882e-07,-7.937294468737885e-06,7.999111606006776e-06
0,6,1.000887858606524,-1.193168791863949e-06,-8.516754963760547e-06,8.599928306597562e-06
0,7,1.000889316945886,-1.431843532784733e-06,-8.431240032168598e-06,8.551957926838731e-06
0,8,1.00089098556301,-1.722804956689867e-06,-7.552751426334184e-06,7.746748416386595e-06
0,9,1.000892820327563,-2.028889145526182e-06,-5.774647117863194e-06,6.120697713551916e-06
0,10,1.000894767814205,-2.360543424014389e-06,-3.04473183643361e-06,3.852603952192588e-06
0,11,1.000896809208757,-2.710915797271211e-06,7.154619188208183e-07,2.803738614275121e-06
0,12,1.000898919765707,-3.078554549064257e-06,5.547303423333075e-06,6.344294553540771e-06
0,13,1.000901063882714,-3.457789695397046e-06,1.150602843480072e-05,1.201436639694481e-05
0,14,1.000903209232131,-3.849640720094562e-06,1.861592710260663e-05,1.900979946141921e-05
0,15,1.000905327396117,-4.252061272310019e-06,2.69240954244361e-05,2.725778676796081e-05
0,16,1.000907386523185,-4.663641121362615e-06,3.644768049510053e-05,3.674483585460406e-05
0,17,1.000909353014866,-5.082990457968912e-06,4.722425318778383e-05,4.749701970797446e-05
0,18,1.00091119356768,-5.509156585024676e-06,5.926368374568799e-05,5.951919872937844e-05
0,19,1.000912874210621,-5.940743979424541e-06,7.259620647380932e-05,7.283887446561089e-05
0,20,1.000914359427027,-6.376252093991461e-06,8.722407180032913e-05,8.745681958655426e-05
0,21,1.000915612901321,-6.814291668979928e-06,0.0001031685743102559,0.0001033933716258481
0,22,1.000916597715716,-7.253248570718663e-06,0.0001204234969139914,0.0001206417350000518
0,23,1.000917276228313,-7.691483846156152e-06,0.000139000430065243,0.0001392130686468702
0,24,1.000917610135655,-8.127158514561137e-06,0.0001588834127403698,0.0001590911359867277
0,25,1.000917560832522,-8.558484107080142e-06,0.0001800730917348622,0.0001802763601173577
0,26,1.000917089526782,-8.98345242513152e-06,0.0002025427296394588,0.0002027418549468202
0,27,1.000916157471778,-9.400098353855376e-06,0.0002262810300407427,0.0002264761939042637
0,28,1.000914726164548,-9.80627887992389e-06,0.0002512494873454276,0.000251440784274968
0,29,1.000912757688934,-1.019991917353697e-05,0.0002774240470319058,0.0002776114915177464
0,30,1.000910214917689,-1.05787886488717e-05,0.0003047537607882581,0.0003049373140234963
0,31,1.000907061866052,-1.09407525922806e-05,0.0003332013112068378,0.0003333808840609213
0,32,1.000903263934243,-1.128355904460537e-05,0.0003627029501490407,0.0003628784214465371
0,33,1.000898788285373,-1.160508485728209e-05,0.0003932079763056849,0.0003933791944485077
0,34,1.000893604089056,-1.190312598341646e-05,0.0004246398966222187,0.0004248066927574302
0,35,1.000887682902525,-1.217564491054226e-05,0.0004569349296952363,0.000457097119116472
0,36,1.000880998912495,-1.242056292246935e-05,0.0004900043318444307,0.0004901617239336604
0,37,1.000873529303279,-1.263600606466195e-05,0.0005237720049863253,0.0005239244047156626
0,38,1.000865254475803,-1.282009822435369e-05,0.0005581379111286289,0.0005582851267564911
0,39,1.000856158387137,-1.297120612794435e-05,0.0005930148621451346,0.0005931567068772186
0,40,1.000846228732343,-1.308773173334976e-05,0.0006282929397981043,0.0006284292378001428
0,41,1.000835457238359,-1.316835499517611e-05,0.0006638755422148563,0.0006640061303364213
0,42,1.000823839792681,-1.321182486364619e-05,0.0006996447168065805,0.0006997694492270922
0,43,1.000811376677272,-1.321719893429935e-05,0.0007354965354166124,0.0007356152852935487
0,44,1.000798072630707,-1.318363217590366e-05,0.0007713072405504165,0.000771419903478545
0,45,1.000783937009545,-1.311061246633539e-05,0.0008069680171788736,0.0008070745126125872
0,46,1.00076898377333,-1.29977465335588e-05,0.0008423518465484008,0.0008424521201815871
0,47,1.000753231564563,-1.284499050595466e-05,0.0008773477391514697,0.000877441763979407
0,48,1.00073670360975,-1.265243271574568e-05,0.0009118281858713897,0.0009119159635641522
0,49,1.000719427713149,-1.242051856401039e-05,0.0009456829136175653,0.000945764475115029
0,50,1.000701436071518,-1.214983014382613e-05,0.0009787868206674705,0.0009788622266104965
0,51,1.000682765181472,-1.184130491288472e-05,0.001011033314593149,0.001011102655381366
0,52,1.00066345557033,-1.149601239248797e-05,0.00104230261746958,0.001042366012821248
0,53,1.000643551621671,-1.111536636226839e-05,0.001072494745179915,0.001072552343621465
0,54,1.000623101229396,-1.070089920932557e-05,0.00110149806865125,0.001101550046292188
0,55,1.000602155550611,-1.02544675560692e-05,0.001129221994594551,0.001129268554056543
0,56,1.000580768594349,-9.778025141133572e-06,0.00115556567096791,0.001155607039479761
0,57,1.000558996914852,-9.273821978067516e-06,0.001180450431646473,0.001180486859456057
0,58,1.000536899149967,-8.744176905290839e-06,0.00120378853772706,0.001203820295639181
0,59,1.000514535671041,-8.191670496438608e-06,0.001225515452345256,0.001225542829689163
0,60,1.000491968088654,-7.618918657319609e-06,0.001245558513897616,0.001245581815644538
0,61,1.00046925887723,-7.028759622711347e-06,0.001263869112066561,0.001263888656447929
0,62,1.000446470867187,-6.424030050288019e-06,0.001280391194286712,0.001280407309635899
0,63,1.000423666863518,-5.807746478221196e-06,0.001295093419371682,0.001295106441501621
0,64,1.000400909143623,-5.182885615316311e-06,0.001307937404357758,0.001307947673273442
0,65,1.000378259088042,-4.552560567530229e-06,0.001318909938153849,0.001318917795303677
0,66,1.000355776702818,-3.919806682883632e-06,0.001327990881571149,0.001327996666569818
