time,amplitude,log_abs_amplitude
0,0.05000000000000002,-2.99573227355399
1,0.04991974544453661,-2.997338654202063
2,0.04990356571757059,-2.997662821511669
3,0.04986201863682615,-2.998495715608669
4,0.04983049456437699,-2.999128141705426
5,0.04979508296669155,-2.999839035434814
6,0.04976121397120277,-3.000519434321417
7,0.04972678311863771,-3.001211595284484
8,0.04969259969832216,-3.001899256396312
9,0.04965835504880094,-3.002588623719748
10,0.04962416578390923,-3.003277350515893
11,0.0495899882681415,-3.003966315058225
12,0.04955583860697586,-3.004655192514643
13,0.04952171090772024,-3.005344101369829
14,0.04948760726063785,-3.006032999123334
15,0.04945352691009329,-3.006721900704623
16,0.04941947009251079,-3.007410801010305
17,0.04938543670862195,-3.008099701720536
18,0.04935142676812536,-3.008788602312353
19,0.04931744024756556,-3.009477502933834
20,0.04928347713250927,-3.010166403550621
21,0.04924953740665639,-3.010855304166397
22,0.04921562105377292,-3.011544204783735
23,0.04918172805789299,-3.012233105399988
24,0.04914785840284797,-3.012922006016855
25,0.04911401207260953,-3.013610906633406
26,0.04908018905109169,-3.014299807250111
27,0.04904638932225368,-3.014988707866744
28,0.0490126128700495,-3.015677608483411
29,0.04897885967845178,-3.016366509100062
30,0.04894512973144071,-3.01705540971672
31,0.04891142301300914,-3.017744310333374
32,0.04887773950716007,-3.01843321095003
33,0.04884407919790797,-3.019122111566686
34,0.04881044206927816,-3.019811012183342
35,0.04877682810530708,-3.020499912799997
36,0.04874323729004187,-3.021188813416654
37,0.04870966960754114,-3.021877714033309
38,0.04867612504187407,-3.022566614649964
39,0.04864260357712087,-3.023255515266621
40,0.04860910519737293,-3.023944415883276
41,0.04857562988673236,-3.024633316499932
42,0.04854217762931225,-3.025322217116589
43,0.04850874840923687,-3.026011117733244
44,0.0484753422106412,-3.026700018349898
45,0.04844195901767103,-3.027388918966555
46,0.04840859881448333,-3.028077819583211
47,0.04837526158524594,-3.028766720199867
48,0.04834194731413739,-3.029455620816524
49,0.04830865598534741,-3.030144521433181
50,0.04827538758307652,-3.030833422049835
51,0.04824214209153584,-3.031522322666491
52,0.04820891949494777,-3.032211223283146
53,0.04817571977754527,-3.032900123899802
54,0.0481425429235723,-3.033589024516459
55,0.04810938891728387,-3.034277925133113
56,0.04807625774294527,-3.03496682574977
57,0.04804314938483323,-3.035655726366425
58,0.04801006382723493,-3.036344626983081
59,0.04797700105444853,-3.037033527599737
60,0.04794396105078301,-3.037722428216392
61,0.04791094380055804,-3.038411328833047
62,0.04787794928810422,-3.039100229449701
63,0.04784497749776274,-3.039789130066358
64,0.04781202841388582,-3.040478030683014
65,0.04777910202083639,-3.041166931299669
66,0.04774619830298808,-3.041855831916324
67,0.04771331724472522,-3.04254473253298
68,0.04768045883044307,-3.043233633149636
69,0.0476476230445475,-3.043922533766292
70,0.04761480987145528,-3.044611434382947
71,0.04758201929559365,-3.045300334999604
72,0.04754925130140086,-3.045989235616259
73,0.04751650587332559,-3.046678136232916
74,0.04748378299582752,-3.047367036849571
75,0.04745108265337688,-3.048055937466226
76,0.04741840483045447,-3.048744838082883
77,0.0473857495115521,-3.049433738699538
78,0.04735311668117197,-3.050122639316194
79,0.04732050632382711,-3.050811539932849
80,0.04728791842404113,-3.051500440549504
81,0.04725535296634827,-3.052189341166161
82,0.04722280993529359,-3.052878241782816
83,0.04719028931543259,-3.053567142399473
84,0.04715779109133161,-3.054256043016129
85,0.04712531524756747,-3.054944943632784
86,0.0470928617687276,-3.05563384424944
87,0.04706043063941009,-3.056322744866097
88,0.04702802184422383,-3.057011645482751
89,0.04699563536778784,-3.057700546099407
90,0.04696327119473216,-3.058389446716063
91,0.04693092930969731,-3.059078347332719
92,0.0468986096973343,-3.059767247949374
93,0.04686631234230474,-3.060456148566029
94,0.0468340372292808,-3.061145049182685
95,0.04680178434294534,-3.06183394979934
96,0.04676955366799145,-3.062522850415996
97,0.04673734518912316,-3.063211751032652
98,0.04670515889105475,-3.063900651649307
99,0.0466729947585111,-3.064589552265963
100,0.04664085277622767,-3.065278452882619
101,0.04660873292895042,-3.065967353499274
102,0.04657663520143569,-3.06665625411593
103,0.04654455957845044,-3.067345154732585
104,0.04651250604477219,-3.068034055349239
105,0.04648047458518863,-3.068722955965896
106,0.04644846518449831,-3.069411856582552
107,0.04641647782751004,-3.070100757199207
108,0.04638451249904319,-3.070789657815861
109,0.04635256918392734,-3.071478558432518
110,0.04632064786700284,-3.072167459049174
111,0.04628874853312041,-3.072856359665828
112,0.04625687116714095,-3.073545260282484
113,0.04622501575393605,-3.074234160899141
114,0.04619318227838765,-3.074923061515797
115,0.04616137072538807,-3.075611962132454
116,0.04612958107984011,-3.07630086274911
117,0.04609781332665691,-3.076989763365765
118,0.04606606745076196,-3.077678663982421
119,0.04603434343708913,-3.078367564599077
120,0.04600264127058279,-3.079056465215733
121,0.04597096093619758,-3.079745365832388
