omega,fit_intercept,fit_slope,nu_measured,nu_theory,relative_error
0.6,-2.992213327747436,-0.003734717666198542,0.3874877588574061,0.3888888888888889,0.003602905795241457
0.8,-2.994733447904885,-0.002407141755072061,0.2497479186624467,0.25,0.001008325350213335
1,-2.995732273553982,-0.001606380648071821,0.1666666379702094,0.1666666666666667,1.721787437625188e-07
1.2,-2.996178470601349,-0.001071398892574322,0.1111607336434895,0.1111111111111111,0.0004466027914051401
1.4,-2.996388391217046,-0.0006889006166557,0.07147543131288772,0.07142857142857144,0.0006560383804279645
