time,y,ux
0,0,0
0,1,0.004900857016478052
0,2,0.009754516100806411
0,3,0.01451423386272312
0,4,0.01913417161825448
0,5,0.0235698368412999
0,6,0.0277785116509801
0,7,0.03171966420818228
0,8,0.03535533905932738
0,9,0.03865052266813684
0,10,0.04157348061512731
0,11,0.04409606321741772
0,12,0.04619397662556434
0,13,0.04784701678661046
0,14,0.04903926402016151
0,15,0.04975923633360989
0,16,0.05000000000000002
0,17,0.04975923633360989
0,18,0.04903926402016151
0,19,0.04784701678661046
0,20,0.04619397662556434
0,21,0.04409606321741772
0,22,0.04157348061512731
0,23,0.03865052266813684
0,24,0.03535533905932738
0,25,0.03171966420818228
0,26,0.0277785116509801
0,27,0.02356983684129991
0,28,0.01913417161825448
0,29,0.01451423386272312
0,30,0.009754516100806411
0,31,0.004900857016478077
0,32,0
0,33,-0.00490085701647806
0,34,-0.009754516100806411
0,35,-0.01451423386272312
0,36,-0.01913417161825448
0,37,-0.0235698368412999
0,38,-0.0277785116509801
0,39,-0.03171966420818228
0,40,-0.03535533905932738
0,41,-0.03865052266813684
0,42,-0.04157348061512731
0,43,-0.04409606321741772
0,44,-0.04619397662556434
0,45,-0.04784701678661046
0,46,-0.04903926402016155
0,47,-0.0497592363336099
0,48,-0.05000000000000002
0,49,-0.0497592363336099
0,50,-0.04903926402016155
0,51,-0.04784701678661046
0,52,-0.04619397662556434
0,53,-0.04409606321741772
0,54,-0.04157348061512731
0,55,-0.03865052266813684
0,56,-0.03535533905932738
0,57,-0.03171966420818228
0,58,-0.0277785116509801
0,59,-0.02356983684129991
0,60,-0.01913417161825453
0,61,-0.01451423386272315
0,62,-0.009754516100806411
0,63,-0.00490085701647806
100,0,6.938893903907272e-18
100,1,0.004173571008655579
100,2,0.008306948246991717
100,3,0.01236032503266955
100,4,0.01629466513144178
100,5,0.02007207869742815
100,6,0.02365618717304404
100,7,0.0270124736343961
100,8,0.0301086152081288
100,9,0.03291479435836396
100,10,0.03540398604587112
100,11,0.03755221799396912
100,12,0.03933880155465468
100,13,0.0407465309515925
100,14,0.04176184898114688
100,15,0.04237497757566403
100,16,0.04258001197160844
100,17,0.04237497757566403
100,18,0.04176184898114694
100,19,0.0407465309515925
100,20,0.03933880155465466
100,21,0.03755221799396905
100,22,0.03540398604587106
100,23,0.03291479435836387
100,24,0.03010861520812879
100,25,0.02701247363439608
100,26,0.02365618717304397
100,27,0.02007207869742818
100,28,0.01629466513144178
100,29,0.01236032503266954
100,30,0.008306948246991765
100,31,0.004173571008655579
100,32,3.469446951953636e-18
100,33,-0.004173571008655575
100,34,-0.008306948246991713
100,35,-0.0123603250326695
100,36,-0.01629466513144174
100,37,-0.02007207869742812
100,38,-0.02365618717304403
100,39,-0.02701247363439615
100,40,-0.03010861520812882
100,41,-0.03291479435836395
100,42,-0.03540398604587112
100,43,-0.03755221799396911
100,44,-0.03933880155465466
100,45,-0.04074653095159256
100,46,-0.04176184898114694
100,47,-0.04237497757566411
100,48,-0.04258001197160851
100,49,-0.0423749775756641
100,50,-0.04176184898114688
100,51,-0.04074653095159248
100,52,-0.03933880155465466
100,53,-0.0375522179939691
100,54,-0.0354039860458711
100,55,-0.03291479435836389
100,56,-0.03010861520812877
100,57,-0.02701247363439608
100,58,-0.02365618717304396
100,59,-0.02007207869742812
100,60,-0.01629466513144178
100,61,-0.01236032503266954
100,62,-0.00830694824699172
100,63,-0.004173571008655533
200,0,1.040834085586094e-17
200,1,0.003554214070258247
200,2,0.007074199116088808
200,3,0.01052605575728078
200,4,0.01387654072740279
200,5,0.01709338702463111
200,6,0.02014561466061641
200,7,0.0230038290147068
200,8,0.02564050392021347
200,9,0.02803024675644328
200,10,0.03015004299351699
200,11,0.0319794778348731
200,12,0.03350093282291855
200,13,0.0346997555144065
200,14,0.03556440059147493
200,15,0.03608654104936846
200,16,0.03626114839004654
200,17,0.03608654104936846
200,18,0.03556440059147496
200,19,0.03469975551440655
200,20,0.03350093282291856
200,21,0.03197947783487318
200,22,0.03015004299351699
200,23,0.02803024675644328
200,24,0.02564050392021353
200,25,0.02300382901470684
200,26,0.02014561466061645
200,27,0.01709338702463111
200,28,0.01387654072740279
200,29,0.01052605575728077
200,30,0.007074199116088732
200,31,0.003554214070258187
200,32,-6.938893903907304e-18
200,33,-0.003554214070258189
200,34,-0.007074199116088751
200,35,-0.01052605575728078
200,36,-0.0138765407274028
200,37,-0.01709338702463115
200,38,-0.02014561466061645
200,39,-0.0230038290147068
200,40,-0.02564050392021347
200,41,-0.02803024675644327
200,42,-0.03015004299351699
200,43,-0.03197947783487312
200,44,-0.03350093282291856
200,45,-0.03469975551440655
200,46,-0.03556440059147496
200,47,-0.0360865410493684
200,48,-0.03626114839004654
200,49,-0.0360865410493684
200,50,-0.03556440059147496
200,51,-0.03469975551440655
200,52,-0.03350093282291853
200,53,-0.03197947783487309
200,54,-0.03015004299351697
200,55,-0.02803024675644328
200,56,-0.02564050392021347
200,57,-0.02300382901470684
200,58,-0.02014561466061641
200,59,-0.0170933870246311
200,60,-0.01387654072740279
200,61,-0.01052605575728077
200,62,-0.007074199116088746
200,63,-0.003554214070258201
500,0,-3.46944695195371e-18
500,1,0.002195082798239374
500,2,0.004369025749177401
500,3,0.006500892593798401
500,4,0.008570152288991753
500,5,0.01055687673272034
500,6,0.01244193268253696
500,7,0.01420716601916851
500,8,0.01583557658060848
500,9,0.01731148188297051
500,10,0.01862066815138093
500,11,0.01975052720640084
500,12,0.02069017788768678
500,13,0.02143057084551249
500,14,0.02196457569095423
500,15,0.02228704966543364
500,16,0.02239488716829429
500,17,0.02228704966543363
500,18,0.02196457569095419
500,19,0.02143057084551249
500,20,0.02069017788768679
500,21,0.0197505272064009
500,22,0.01862066815138093
500,23,0.01731148188297051
500,24,0.01583557658060858
500,25,0.01420716601916856
500,26,0.01244193268253703
500,27,0.01055687673272043
500,28,0.00857015228899183
500,29,0.006500892593798464
500,30,0.004369025749177442
500,31,0.002195082798239439
500,32,2.775557561562962e-17
500,33,-0.002195082798239369
500,34,-0.004369025749177414
500,35,-0.006500892593798407
500,36,-0.008570152288991821
500,37,-0.01055687673272037
500,38,-0.01244193268253695
500,39,-0.01420716601916851
500,40,-0.01583557658060851
500,41,-0.0173114818829705
500,42,-0.01862066815138086
500,43,-0.01975052720640081
500,44,-0.02069017788768676
500,45,-0.02143057084551248
500,46,-0.02196457569095423
500,47,-0.02228704966543364
500,48,-0.02239488716829429
500,49,-0.02228704966543363
500,50,-0.02196457569095419
500,51,-0.02143057084551249
500,52,-0.02069017788768679
500,53,-0.01975052720640088
500,54,-0.01862066815138093
500,55,-0.01731148188297051
500,56,-0.01583557658060852
500,57,-0.0142071660191685
500,58,-0.01244193268253696
500,59,-0.01055687673272039
500,60,-0.008570152288991826
500,61,-0.006500892593798409
500,62,-0.004369025749177416
500,63,-0.002195082798239378
1000,0,6.938893903907598e-18
1000,1,0.000983172631832747
1000,2,0.00195687677376412
1000,3,0.002911735122626449
1000,4,0.003838551870541538
1000,5,0.004728401265577415
1000,6,0.005572713571618758
1000,7,0.006363357599610263
1000,8,0.007092719015352377
1000,9,0.007753773669702037
1000,10,0.008340155244968653
1000,11,0.008846216566033595
1000,12,0.009267083985733815
1000,13,0.009598704320747943
1000,14,0.009837883885967786
1000,15,0.009982319251431339
1000,16,0.01003061942561284
1000,17,0.009982319251431336
1000,18,0.009837883885967756
1000,19,0.009598704320747891
1000,20,0.009267083985733724
1000,21,0.008846216566033523
1000,22,0.008340155244968585
1000,23,0.007753773669701981
1000,24,0.007092719015352293
1000,25,0.006363357599610201
1000,26,0.005572713571618701
1000,27,0.004728401265577348
1000,28,0.003838551870541416
1000,29,0.002911735122626349
1000,30,0.001956876773764047
1000,31,0.0009831726318327157
1000,32,-1.38777878078152e-17
1000,33,-0.000983172631832747
1000,34,-0.001956876773764119
1000,35,-0.002911735122626423
1000,36,-0.003838551870541485
1000,37,-0.004728401265577413
1000,38,-0.005572713571618784
1000,39,-0.006363357599610263
1000,40,-0.007092719015352384
1000,41,-0.007753773669702062
1000,42,-0.008340155244968665
1000,43,-0.00884621656603362
1000,44,-0.009267083985733815
1000,45,-0.009598704320747992
1000,46,-0.009837883885967793
1000,47,-0.009982319251431395
1000,48,-0.01003061942561288
1000,49,-0.009982319251431398
1000,50,-0.009837883885967793
1000,51,-0.009598704320747978
1000,52,-0.009267083985733802
1000,53,-0.008846216566033602
1000,54,-0.008340155244968636
1000,55,-0.007753773669702061
1000,56,-0.007092719015352377
1000,57,-0.006363357599610263
1000,58,-0.00557271357161877
1000,59,-0.004728401265577412
1000,60,-0.003838551870541496
1000,61,-0.002911735122626422
1000,62,-0.001956876773764104
1000,63,-0.000983172631832747
